Identifier,Age,Education,Indutry_Groups,Industry_Domain,Marital_Status,Occupation,Customer_Segment,Gender,Metropolitan_City,Residence,Insurance_Product_type,Insurance_Acquisition_Channel,Active_Bank_Products,Total_Bank_Products,Commercial_Loan,Consumer_Auto_Loan,Mortgage_Loan,Personal_Loan,Credit_Card,Deposit,Pre-Approved Auto Limit,Pre-Approved Mortgage Limit,Pre-Approved Personal Limit,Tenure_with_Bank_Group,Tenure_of_Insurance,Salary_Amount,Credit_Limit,Total_Asset_Under_Mngmnt,Avg_Monthly_Balance,Application_Score,Behavioural_Score
30,46.3,University,Services,Education,SINGLE,Non- Government Job,Privilege Banking,Female,Bengaluru,Living in a house owned by a family member,Home Insurance,Bank,4,4,0,0,1,1,0,0,MISSING,MISSING,MISSING,<=10 YRS,1.14,48589.92,NA,13052.61,82597.57168,376,668
32,34.3,High School,Trade/Merchandise,Domestic Trade,SINGLE,Non- Government Job,Individual,Male,Chennai,Living in a house owned by a family member,Credit Card Insurance,Bank,>=5,>=6,0,0,0,1,1,1,"<240,000","<1,000,000",ZERO,<=10 YRS,2.84,6416.06,9100,1749.42,3740.179172,212,725
33,37.4,Unknown,Services,Unknown,MARRIED,Non- Government Job,Individual,Female,Bengaluru,Unknown,Auto Insurance,Bank,0,0,0,0,0,0,1,0,">480,000",">=5,000,000","<1,500,000",<=10 YRS,1.85,NA,NA,0,78.11236363,368,717
34,31.7,High School,Production/Manufacturing,Manufacturing,MARRIED,Non- Government Job,Individual,Male,Others,Living in a house owned by a family member,Home Insurance,Direct,>=5,>=6,0,0,1,1,1,1,MISSING,MISSING,MISSING,<=10 YRS,1.88,15937.6,57600,1265.81,34636.90914,373,660
35,42.0,University,Services,Unknown,MARRIED,Unemployed/Housewife/Student,Individual,Female,Bengaluru,Living in a house owned by a family member,Health Insurance,Bank,3,4,0,0,1,0,0,0,MISSING,MISSING,MISSING,<=10 YRS,1.88,50381.33334,114751,0,914.7015339,311,616
36,37.8,High School,Trade/Merchandise,Information & Techonology,MARRIED,Non- Government Job,Individual,Male,Bengaluru,Living in a house owned by a family member,Auto Insurance,Direct,3,4,0,0,0,1,0,0,"<480,000","<2,500,000",ZERO,<=10 YRS,7.35,58619.34,93100,26438.04,8588.60604,352,696
37,30.8,University,Services,Finance,SINGLE,Non- Government Job,Individual,Female,Bengaluru,Living in a house owned by a family member,Home Insurance,Direct,>=5,>=6,0,0,1,0,1,1,MISSING,MISSING,MISSING,<=5 YRS,2.00,35775.36,100100,450520.02,38264.90843,413,694
38,51.8,University,Production/Manufacturing,Petrochemicals,MARRIED,Non- Government Job,Privilege Banking,Male,Bengaluru,Living in a house owned by a family member,Home Insurance,Direct,>=5,>=6,0,1,1,1,0,1,">480,000",">=5,000,000","<1,500,000",<=10 YRS,9.23,53530.64,194400,11024.32,19656.3346,382,665
40,38.1,University,Government & NGO,Public Services,MARRIED,Non- Government Job,Individual,Male,Hyderabad,Living in a house owned by a family member,Health Insurance,Bank,1,3,0,1,0,1,1,0,">480,000",">=5,000,000","<1,500,000",>10 YRS,5.28,23800,61600,3.06,5074.6735,364,695
41,32.1,University,Production/Manufacturing,Automotive,SINGLE,Non- Government Job,Individual,Male,Others,Living in a house owned by a family member,Auto Insurance,Bank,2,3,0,0,0,1,1,0,MISSING,MISSING,MISSING,<=10 YRS,3.60,8400,18900,3.04,1377.736717,367,630
43,25.7,Intermediate,Services,Media,SINGLE,Non- Government Job,Individual,Male,Bengaluru,Unknown,Auto Insurance,Direct,0,0,0,0,0,0,1,0,MISSING,MISSING,MISSING,<=2 YRS,1.36,NA,NA,0,1015.669334,306,615
44,24.6,High School,Production/Manufacturing,Automotive,MARRIED,Non- Government Job,Individual,Female,Hyderabad,Living in a house owned by a family member,Credit Card Insurance,Direct,1,1,0,0,0,0,1,0,MISSING,MISSING,MISSING,<=2 YRS,1.89,5400,9600,0,1966.718864,298,709
45,54.4,Intermediate,Services,Unknown,MARRIED,Retired,Privilege Banking,Male,Hyderabad,Living in a house owned by a family member,Health Insurance,Direct,>=5,>=6,1,1,0,0,1,1,MISSING,MISSING,MISSING,>10 YRS,1.89,17828.02,76400,562501.76,74950.35905,418,687
46,33.6,University,Trade/Merchandise,Domestic Trade,MARRIED,Non- Government Job,Individual,Male,Bengaluru,Living in a house owned by a family member,Auto Insurance,Direct,>=5,>=6,0,0,0,0,1,1,">480,000",">=5,000,000",ZERO,<=10 YRS,4.50,26194.41,57750,439972.8,18725.60608,367,717
47,45.5,High School,Production/Manufacturing,Petrochemicals,MARRIED,Non- Government Job,Individual,Male,Chandigarh,Living in a house owned by a family member,Home Insurance,Direct,>=5,>=6,0,0,1,1,1,0,MISSING,MISSING,MISSING,<=10 YRS,3.32,8100,59400,112.4,18847.93143,363,574
48,46.0,Intermediate,Production/Manufacturing,Manufacturing,MARRIED,Non- Government Job,Privilege Banking,Male,Indore,Living in a house owned by a family member,Home Insurance,Direct,>=5,>=6,0,0,1,0,0,0,">480,000",">=5,000,000",ZERO,<=5 YRS,2.25,28308.21,152600,26690.04,36462.9079,363,671
49,36.2,University,Production/Manufacturing,Manufacturing,SINGLE,Non- Government Job,Individual,Male,Others,Living in a house owned by a family member,Auto Insurance,Bank,2,4,0,1,0,0,0,0,MISSING,MISSING,MISSING,<=2 YRS,1.50,NA,NA,4.32,36960.756,373,616
50,40.9,University,Services,Tourism,MARRIED,Non- Government Job,Individual,Male,Bengaluru,Living in a house owned by a family member,Health Insurance,Bank,4,4,0,0,0,1,0,0,MISSING,MISSING,MISSING,<=5 YRS,1.89,27269.97,44100,13875.26,2483.588183,386,680
52,32.8,University,Production/Manufacturing,Textile,SINGLE,Non- Government Job,Individual,Female,Bengaluru,Living with Family,Health Insurance,Direct,4,4,0,0,0,1,1,1,MISSING,MISSING,MISSING,<=10 YRS,1.88,NA,NA,710.64,25557.15917,336,576
53,37.4,University,Production/Manufacturing,Catering/Restaurant/Fast Food,MARRIED,Non- Government Job,Individual,Male,Ahmedabad,Living in a house owned by a family member,Credit Card Insurance,Direct,>=5,>=6,0,0,1,1,0,1,MISSING,MISSING,MISSING,<=10 YRS,1.51,62088.18,108000,731.92,40006.02707,363,594
54,32.8,Graduate and Higher,Production/Manufacturing,Petrochemicals,SINGLE,Non- Government Job,Individual,Male,Lucknow,Living in a house owned by a family member,Home Insurance,Direct,3,4,0,0,0,1,0,0,MISSING,MISSING,MISSING,<=10 YRS,1.86,8485.96,NA,8.1,8292.829252,392,616
55,31.4,Intermediate,Production/Manufacturing,Manufacturing,SINGLE,Non- Government Job,Individual,Female,Bengaluru,Living with Family,Auto Insurance,Direct,3,5,0,0,0,0,1,0,">480,000",">=5,000,000",ZERO,>10 YRS,6.90,21304.72,52000,323316.45,985.0025176,355,719
56,27.2,University,Services,Health,SINGLE,Self Employed,Individual,Female,Others,Living with Family,Small and Medium Enterprises Insurance,Agent,2,3,0,0,0,0,0,0,MISSING,MISSING,MISSING,<=10 YRS,0.87,8000,18000,11876.04,2705.581753,339,698
57,34.2,University,Services,Finance,SINGLE,Non- Government Job,Privilege Banking,Male,Bengaluru,Living in a house owned by a family member,Home Insurance,Agent,3,4,0,0,1,0,1,0,MISSING,MISSING,MISSING,<=2 YRS,5.01,29166.66667,70000,1174.32,214346.1613,353,599
58,43.2,University,Production/Manufacturing,Petrochemicals,DIVORCED,Non- Government Job,Individual,Female,Bengaluru,Rented House,Health Insurance,Bank,>=5,>=6,0,1,0,1,1,1,MISSING,MISSING,MISSING,>10 YRS,2.32,189000,218400,180517.41,12551.82207,357,694
60,28.1,University,Production/Manufacturing,Manufacturing,SINGLE,Non- Government Job,Individual,Male,Hyderabad,Living in a house owned by a family member,Auto Insurance,Direct,4,4,0,0,0,1,1,0,MISSING,MISSING,MISSING,<=2 YRS,1.58,19986.48,26600,1392.3,6983.974177,375,575
62,26.4,University,Trade/Merchandise,Domestic Trade,SINGLE,Non- Government Job,Individual,Female,Bengaluru,Living in a house owned by a family member,Auto Insurance,Direct,3,4,0,0,0,1,1,0,">480,000",">=5,000,000",ZERO,<=2 YRS,5.72,40551.63,NA,59996.37,28032.05904,323,665
63,36.8,University,Services,Education,SINGLE,Non- Government Job,Individual,Female,Bengaluru,Own House,Auto Insurance,Bank,>=5,>=6,0,1,0,0,0,1,MISSING,MISSING,MISSING,<=2 YRS,2.60,14120.19,NA,39014.92,13327.39189,356,662
64,40.2,Intermediate,Services,Media,MARRIED,Non- Government Job,Privilege Banking,Female,Bengaluru,Living in a house owned by a family member,Auto Insurance,Direct,>=5,>=6,0,0,0,1,1,1,MISSING,MISSING,MISSING,>10 YRS,2.92,60165.36,105000,1776456.22,119806.2556,367,699
65,68.8,High School,Services,Hospitality,MARRIED,Non- Government Job,Individual,Female,Bengaluru,Living in a house owned by a family member,Auto Insurance,Direct,>=5,5,0,1,0,0,1,1,MISSING,MISSING,MISSING,>10 YRS,5.97,8000,14000,4562.08,14659.26738,306,583
67,29.6,High School,Services,Unknown,DIVORCED,Non- Government Job,Individual,Male,Bengaluru,Living in a house owned by a family member,Home Insurance,Direct,4,5,0,0,1,0,1,1,MISSING,MISSING,MISSING,<=10 YRS,1.89,35774.01,70000,320790.89,58698.50634,385,711
69,40.1,Intermediate,Services,Health,MARRIED,Government Job,Individual,Female,Others,Living in a house owned by a family member,Theft Insurance for Credit Card,Direct,2,3,0,0,0,0,0,0,MISSING,MISSING,MISSING,>10 YRS,1.88,30100,93600,0,2814.057273,394,705
73,40.0,University,Services,Education,MARRIED,Non- Government Job,Individual,Male,Bengaluru,Living in a house owned by a family member,Home Insurance,Bank,>=5,5,0,0,0,1,1,1,"<240,000","<1,000,000",ZERO,<=10 YRS,1.88,9116.24,80000,26439.49,34935.74022,362,712
74,34.8,High School,Trade/Merchandise,Information & Techonology,SINGLE,Non- Government Job,Individual,Male,Bengaluru,Living in a house owned by a family member,Credit Card Insurance,Direct,0,1,0,0,0,1,0,0,MISSING,MISSING,MISSING,<=10 YRS,2.65,4907.98,NA,15.96,1540.884161,332,609
76,27.0,University,Production/Manufacturing,Catering/Restaurant/Fast Food,SINGLE,Non- Government Job,Individual,Female,Chennai,Living in a house owned by a family member,Auto Insurance,Agent,1,3,0,0,0,1,1,0,MISSING,MISSING,MISSING,<=10 YRS,7.20,16000,28000,0,2950.157818,364,705
78,47.8,Graduate and Higher,Production/Manufacturing,Manufacturing,MARRIED,Non- Government Job,Individual,Male,Chennai,Own House,Home Insurance,Bank,>=5,>=6,0,0,0,0,0,1,MISSING,MISSING,MISSING,>10 YRS,1.51,66693.78,37100,528212.64,58020.59372,383,719
80,42.5,Intermediate,Services,Unknown,SINGLE,Non- Government Job,Individual,Female,Bengaluru,Living in a house owned by a family member,Auto Insurance,Direct,>=5,>=6,1,0,0,1,0,1,MISSING,MISSING,MISSING,>10 YRS,5.45,15445.78,156600,113507.04,37447.82758,229,596
81,34.5,University,Production/Manufacturing,Manufacturing,MARRIED,Non- Government Job,Individual,Male,Bengaluru,Rented House,Auto Insurance,Direct,2,4,0,0,0,0,1,0,MISSING,MISSING,MISSING,<=10 YRS,4.72,78544.48,310400,192609.41,1310.207408,379,695
82,26.7,High School,Production/Manufacturing,Manufacturing,MARRIED,Non- Government Job,Individual,Male,Bengaluru,Living in a house owned by a family member,Home Insurance,Bank,3,3,0,0,1,0,1,0,MISSING,MISSING,MISSING,<=2 YRS,1.45,NA,NA,227.85,45166.61213,330,590
84,27.5,University,Services,Unknown,SINGLE,Non- Government Job,Individual,Female,Bengaluru,Living in a house owned by a family member,Theft Insurance,Direct,>=5,>=6,0,0,0,1,1,0,MISSING,MISSING,MISSING,<=10 YRS,3.12,10500,55300,43968.42,14607.85762,316,598
85,50.0,University,Services,Unknown,MARRIED,Retired,Individual,Male,Bengaluru,Living in a house owned by a family member,Auto Insurance,Agent,4,4,0,1,0,0,1,0,MISSING,MISSING,MISSING,<=2 YRS,1.92,21700,54400,59.52,39659.26343,346,584
87,32.6,High School,Production/Manufacturing,Petrochemicals,MARRIED,Non- Government Job,Individual,Female,Others,Living in a house owned by a family member,Home Insurance,Bank,>=5,5,0,0,1,1,1,0,MISSING,MISSING,MISSING,<=10 YRS,0.77,14249.07,35000,4717.84,45546.06886,374,627
88,28.0,University,Production/Manufacturing,Catering/Restaurant/Fast Food,MARRIED,Non- Government Job,Individual,Male,Chennai,Living in a house owned by a family member,Auto Insurance,Direct,2,4,0,0,1,0,0,0,"<360,000","<2,500,000","<1,500,000",<=5 YRS,1.63,12000,24000,32275.62,53282.25154,363,689
89,42.9,High School,Production/Manufacturing,Manufacturing,DIVORCED,Non- Government Job,Individual,Male,Bengaluru,Own House,Theft Insurance for Credit Card,Direct,>=5,>=6,0,1,0,0,1,1,">480,000","<5,000,000",ZERO,>10 YRS,2.72,37172.87,96000,1170579.6,131911.6213,365,698
90,32.5,University,Production/Manufacturing,Petrochemicals,DIVORCED,Non- Government Job,Individual,Male,Bengaluru,Living with Family,Home Insurance,Direct,4,4,0,0,1,1,0,1,">480,000",">=5,000,000","<1,000,000",<=5 YRS,1.86,18530.37,NA,11647.71,58207.43642,373,659
91,27.5,High School,Production/Manufacturing,Manufacturing,SINGLE,Non- Government Job,Individual,Male,Others,Living in a house owned by a family member,Health Insurance,Direct,>=5,>=6,0,0,0,1,1,0,MISSING,MISSING,MISSING,<=5 YRS,1.61,21813.3,51200,4090.8,33243.68576,387,678
92,47.8,Graduate and Higher,Services,Education,MARRIED,Non- Government Job,Privilege Banking,Male,Bengaluru,Own House,Home Insurance,Direct,2,4,0,0,0,0,0,0,">480,000",">=5,000,000","<1,500,000",<=5 YRS,13.57,147000,204300,15859.44,5720.915555,398,705
93,57.9,High School,Production/Manufacturing,Manufacturing,MARRIED,Non- Government Job,Individual,Male,Others,Own House,Theft Insurance for Credit Card,Direct,>=5,5,0,0,0,1,0,1,MISSING,MISSING,MISSING,>10 YRS,4.28,21071.52,189000,363149.43,73963.88422,435,603
94,28.8,High School,Production/Manufacturing,Durable Goods,SINGLE,Non- Government Job,Individual,Male,Bengaluru,Living with Family,Credit Card Insurance,Direct,>=5,>=6,0,0,0,1,0,1,MISSING,MISSING,MISSING,<=5 YRS,2.47,27013.32,26400,4834.96,17331.76602,327,624
95,38.8,University,Transportation/Logistics/Telecom,Transport,UNKNOWN,Non- Government Job,Individual,Male,Lucknow,Living in a house owned by a family member,Home Insurance,Bank,>=5,5,0,1,1,1,0,0,">480,000",">=5,000,000","<1,500,000",<=10 YRS,8.91,31500,88000,199.52,16499.37134,369,609
96,33.8,High School,Production/Manufacturing,Manufacturing,MARRIED,Non- Government Job,Individual,Male,Others,Own House,Health Insurance,Direct,>=5,5,0,0,0,1,1,0,"<240,000","<1,000,000",ZERO,<=10 YRS,1.88,32761.53,33600,718.13,61635.96788,350,596
98,30.7,University,Services,Unknown,UNKNOWN,Non- Government Job,Individual,Male,Chennai,Living in a house owned by a family member,Home Insurance,Direct,>=5,5,0,0,0,1,0,0,MISSING,MISSING,MISSING,<=10 YRS,2.98,13050,23200,81.69,9837.236983,325,555
99,31.8,University,Production/Manufacturing,Manufacturing,SINGLE,Non- Government Job,Privilege Banking,Male,Indore,Living in a house owned by a family member,Home Insurance,Direct,4,5,0,0,1,0,1,0,"<360,000","<2,500,000",ZERO,<=10 YRS,1.89,15581.52,207000,27315.26,40068.88743,358,693
100,54.5,High School,Services,Tourism,MARRIED,Retired but still working,Individual,Female,Bengaluru,Rented House,Auto Insurance,Bank,>=5,>=6,0,1,0,1,1,0,MISSING,MISSING,MISSING,<=5 YRS,2.38,45152.8,119700,266.67,27935.97781,356,586
101,54.3,Graduate and Higher,Services,Finance,MARRIED,Retired but still working,Privilege Banking,Male,Bengaluru,Living in a house owned by a family member,Home Insurance,Direct,>=5,>=6,0,0,1,1,1,1,MISSING,MISSING,MISSING,>10 YRS,2.69,22007.88,540900,5539378.77,1077479.975,432,715
102,44.5,High School,Production/Manufacturing,Petrochemicals,UNKNOWN,Non- Government Job,Privilege Banking,Male,Bengaluru,Living in a house owned by a family member,Home Insurance,Direct,4,4,0,0,0,1,1,1,"<480,000","<2,500,000","<1,500,000",<=10 YRS,1.86,9933,21000,5453.92,153887.3763,360,711
103,38.6,Graduate and Higher,Trade/Merchandise,Information & Techonology,UNKNOWN,Non- Government Job,Privilege Banking,Male,Bengaluru,Own House,Home Insurance,Bank,>=5,>=6,0,0,1,1,1,1,MISSING,MISSING,MISSING,>10 YRS,6.66,54666.66666,126000,3313462.25,612043.1125,352,690
104,31.0,Intermediate,Production/Manufacturing,Manufacturing,MARRIED,Non- Government Job,Individual,Male,Indore,Living in a house owned by a family member,Home Insurance,Direct,>=5,5,0,0,0,1,1,0,MISSING,MISSING,MISSING,<=5 YRS,1.89,13616.82,76500,2667.56,7837.437273,369,693
105,52.8,University,Services,Unknown,MARRIED,Unemployed/Housewife/Student,Privilege Banking,Female,Bengaluru,Living in a house owned by a family member,Home Insurance,Bank,2,3,0,0,1,0,1,1,MISSING,MISSING,MISSING,>10 YRS,1.73,NA,NA,3705.24,141639.1533,373,659
110,32.2,Graduate and Higher,Trade/Merchandise,Domestic Trade,SINGLE,Non- Government Job,Individual,Male,Bengaluru,Own House,Auto Insurance,Direct,3,3,0,0,0,1,0,0,MISSING,MISSING,MISSING,>10 YRS,2.46,38666.66666,84000,0,9988.864137,410,585
112,33.3,Graduate and Higher,Production/Manufacturing,Manufacturing,MARRIED,Non- Government Job,Individual,Female,Hyderabad,Living in a house owned by a family member,Home Insurance,Direct,4,5,0,0,1,0,0,0,MISSING,MISSING,MISSING,<=2 YRS,1.71,26290.98,11250,560548.98,31227.39255,345,692
113,30.0,High School,Production/Manufacturing,Catering/Restaurant/Fast Food,MARRIED,Non- Government Job,Individual,Male,Others,Living with Family,Health Insurance,Bank,4,4,0,0,0,1,1,0,MISSING,MISSING,MISSING,<=10 YRS,2.99,12008.97,37100,461.2,10930.4108,407,717
114,33.3,University,Transportation/Logistics/Telecom,Transport,DIVORCED,Non- Government Job,Individual,Female,Bengaluru,Living with Family,Health Insurance,Bank,4,4,0,0,0,1,1,0,MISSING,MISSING,MISSING,<=10 YRS,1.86,8925,22950,574.16,10811.6287,357,637
115,48.1,University,Trade/Merchandise,Information & Techonology,MARRIED,Non- Government Job,Privilege Banking,Male,Indore,Own House,Health Insurance,Direct,>=5,>=6,0,0,0,0,0,1,">480,000",">=5,000,000",ZERO,<=2 YRS,3.43,111861.04,138600,2721644.48,70324.86272,340,702
116,34.7,University,Trade/Merchandise,Domestic Trade,MARRIED,Non- Government Job,Individual,Male,Bengaluru,Living with Family,Home Insurance,Bank,3,3,0,0,1,0,1,0,MISSING,MISSING,MISSING,>10 YRS,2.31,NA,NA,1522.35,30913.27061,426,644
117,35.6,Graduate and Higher,Trade/Merchandise,Information & Techonology,MARRIED,Government Job,Individual,Male,Hyderabad,Rented House,Health Insurance,Direct,3,3,0,0,0,0,1,0,MISSING,MISSING,MISSING,<=10 YRS,1.41,48300,127400,898.64,3524.926363,411,676
119,34.5,University,Services,Health,MARRIED,Self Employed,SME,Female,Others,Own House,Small and Medium Enterprises Insurance,Agent,4,5,1,0,0,0,1,0,MISSING,MISSING,MISSING,<=10 YRS,3.73,27733.33334,71100,2518.72,11454.53387,323,697
120,38.6,University,Services,Finance,MARRIED,Non- Government Job,Individual,Male,Bengaluru,Living with Family,Theft Insurance for Credit Card,Direct,1,3,0,0,0,0,0,0,">480,000",">=5,000,000","<1,500,000",<=10 YRS,1.46,46200,155700,0,5234.368,364,699
121,43.8,Intermediate,Services,Unknown,MARRIED,Non- Government Job,Individual,Male,Others,Rented House,Theft Insurance for Credit Card,Bank,3,3,0,1,0,0,0,0,MISSING,MISSING,MISSING,<=10 YRS,7.36,15200,30400,7424.55,1316.264,356,584
122,35.0,Graduate and Higher,Production/Manufacturing,Petrochemicals,MARRIED,Non- Government Job,Individual,Female,Bengaluru,Living with Family,Auto Insurance,Bank,3,3,0,1,0,0,0,0,MISSING,MISSING,MISSING,<=2 YRS,1.86,38802.8,NA,0,37163.34464,350,573
125,37.0,Graduate and Higher,Services,Health,MARRIED,Non- Government Job,Privilege Banking,Male,Bengaluru,Living in a house owned by a family member,Home Insurance,Bank,4,4,0,0,1,0,0,0,MISSING,MISSING,MISSING,>10 YRS,3.93,37333.33333,121500,6.86,147342.2224,408,500
126,37.0,University,Services,Unknown,MARRIED,Non- Government Job,Privilege Banking,Female,Bengaluru,Rented House,Home Insurance,Direct,>=5,>=6,0,1,0,1,0,1,">480,000",">=5,000,000",ZERO,<=10 YRS,3.60,160352.64,72800,1322882.82,129110.9096,362,719
127,46.3,University,Production/Manufacturing,Manufacturing,MARRIED,Non- Government Job,Individual,Male,Hyderabad,Own House,Auto Insurance,Direct,>=5,>=6,0,1,0,1,0,0,">480,000",">=5,000,000",ZERO,>10 YRS,2.26,16241.68,48000,28057.76,9337.900168,379,697
128,33.7,University,Services,Unknown,MARRIED,Non- Government Job,Privilege Banking,Male,Indore,Living in a house owned by a family member,Auto Insurance,Direct,4,>=6,0,0,1,1,0,1,">480,000","<5,000,000",ZERO,<=5 YRS,1.88,46393.76,88900,22907.34,60050.75195,362,692
